baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
9.999999999999998948e+35,1.681821350000000244e+12,8.582389142856329679e+08,1.003255173787979603e+09,9.307470440368062258e+08,1.683101870239777832e+12,1.683274757500754150e+12,1.683188313870265869e+12,1.162220763461081297e-03,6.756259756164814334e+00,1.149158314480423207e-03,6.767575685925500295e+00,1.175283127181090802e-03,6.745070226794980250e+00
4.222222222222222434e+36,7.101023477777779297e+12,7.099385073271470070e+09,7.386328385064193726e+09,7.242856729167831421e+09,7.114160481000202148e+12,7.114368817862170898e+12,7.114264649431186523e+12,1.533997156935829401e-03,6.478343254470062540e+00,1.526899471317347745e-03,6.482988022650337356e+00,1.541094785842810977e-03,6.473719931734464694e+00
7.444444444444444088e+36,1.252022560555555664e+13,1.745802582947547913e+10,1.775722845558698654e+10,1.760762714253123093e+10,1.255153840909943750e+13,1.255175892352824219e+13,1.255164866631383984e+13,2.174218741066531388e-03,6.128909292692489075e+00,2.164518098017373989e-03,6.133390665771638162e+00,2.183918569402682093e-03,6.124448200069291026e+00
1.066666666666666633e+37,1.793942773333333984e+13,3.065009914267236710e+10,3.114919304038025284e+10,3.089964609152630615e+10,1.799342824854494141e+13,1.799398226548672656e+13,1.799370525701583594e+13,2.630068752641614126e-03,5.938111757985582884e+00,2.603962517961131047e-03,5.948113590038181187e+00,2.656172480856781957e-03,5.928209403028738222e+00
1.388888888888888622e+37,2.335862986111111328e+13,4.580986092486574554e+10,4.668010521705228424e+10,4.624498307095900726e+10,2.343898947238039062e+13,2.344011384933330469e+13,2.343955166085684766e+13,2.957021305366138841e-03,5.820611431145763071e+00,2.910026500665669966e-03,5.836678822222205909e+00,3.004009598424256956e-03,5.804798819179087133e+00
1.711111111111111082e+37,2.877783198888889844e+13,6.235323599789587402e+10,6.388057111271812439e+10,6.311690355530699921e+10,2.888761226630051953e+13,2.888954434670183203e+13,2.888857830650117188e+13,3.211382670223627937e-03,5.737837145968089025e+00,3.133462823316726480e-03,5.762478170240258102e+00,3.289288003547640067e-03,5.713789440317526669e+00
2.033333333333333306e+37,3.419703411666667578e+13,7.996460470699298096e+10,8.253983014605279541e+10,8.125221742652288818e+10,3.433882821518261328e+13,3.434185295864978125e+13,3.434034058691619922e+13,3.433377128538104249e-03,5.670771631917527422e+00,3.315591515548391849e-03,5.705798134930283538e+00,3.551134157783506808e-03,5.636930791050431822e+00
2.355555555555555295e+37,3.961623624444445312e+13,9.850904019915411377e+10,1.026141277242753906e+11,1.005615839617147522e+11,3.979228022996514062e+13,3.979673392428146094e+13,3.979450707712330469e+13,3.648724244474171700e-03,5.609722297471408936e+00,3.483422456856070243e-03,5.656250500167100626e+00,3.813975038074582380e-03,5.565262049853449966e+00
2.677777777777777755e+37,4.503543837222223438e+13,1.179651093896647034e+11,1.241589745453887482e+11,1.210620419675267181e+11,4.524769158946712500e+13,4.525396301622212500e+13,4.525082730284462500e+13,3.872771856564222875e-03,5.549904495857433062e+00,3.653582479140061665e-03,5.608386818497669957e+00,4.091877100309121093e-03,5.494651193744228834e+00
3.000000000000000216e+37,5.045464050000000781e+13,1.383792977241349487e+11,1.472843083686752930e+11,1.428318030464051208e+11,5.070484453170846094e+13,5.071337466151754688e+13,5.070910959661300781e+13,4.114134036029001157e-03,5.489204287448676389e+00,3.835873829016683487e-03,5.559514764129625419e+00,4.392263850320113350e-03,5.423508563190136300e+00
3.322222222222222204e+37,5.587384262777778125e+13,1.598373204120161133e+11,1.721270174240968933e+11,1.659821689180564880e+11,5.616356495588309375e+13,5.617484577663108594e+13,5.616920536625709375e+13,4.377369527380322450e-03,5.426920321269661507e+00,4.035925500043885741e-03,5.508475543693206689e+00,4.718621490196955176e-03,5.351508789873698824e+00
3.644444444444444192e+37,6.129304475555556250e+13,1.824473304832546082e+11,1.988354902362892151e+11,1.906414103597719116e+11,6.162371143171899219e+13,6.163828426478242969e+13,6.163099784825071094e+13,4.664804045925334541e-03,5.363033732526634623e+00,4.257011122153131141e-03,5.454921881473782541e+00,5.072325697937935668e-03,5.278870615406589195e+00
3.966666666666666653e+37,6.671224688333334375e+13,2.063310073791319275e+11,2.275620218677567444e+11,2.169465146234443665e+11,6.708516735633670312e+13,6.710362087722752344e+13,6.709439411678210938e+13,4.977701049370349129e-03,5.297797000136199586e+00,4.501225352641510802e-03,5.398894232315639030e+00,5.453806831886676143e-03,5.205972679750635379e+00
4.288888888888888641e+37,7.213144901111112500e+13,2.316195849512811279e+11,2.584600684489509277e+11,2.450398267001160278e+11,7.254783543099392188e+13,7.257080353004460938e+13,7.255931948051926562e+13,5.316969585638726264e-03,5.231520609714230829e+00,4.770201538108767569e-03,5.340585108537496239e+00,5.863247998139468897e-03,5.133171058725899627e+00
