# n [fm^{-3}]             rho [MeV fm^{-3}]        P_min [MeV fm^{-3}]      P_max [MeV fm^{-3}]      eps_min  [MeV fm^{-3}]   eps_max [MeV fm^{-3}]
1.000000000000000021e-03 9.395650000000002056e-01 4.794630806064988657e-04 5.604777507195417416e-04 9.402803744356300619e-01 9.403769594976281176e-01
4.222222222222222696e-03 3.967052222222223534e+00 3.966136912442162071e-03 4.126440438583348774e-03 3.974391330167710734e+00 3.974507719476073397e+00
7.444444444444444503e-03 6.994539444444445309e+00 9.753087055572894071e-03 9.920239360663121730e-03 7.012032630781808606e+00 7.012155823200135529e+00
1.066666666666666805e-02 1.002202666666667064e+01 1.712296041490076262e-02 1.740178382144148481e-02 1.005219455225974379e+01 1.005250405893113275e+01
1.388888888888888812e-02 1.304951388888889063e+01 2.559210107534399051e-02 2.607827107097892769e-02 1.309440752646949235e+01 1.309503567001860702e+01
1.711111111111111166e-02 1.607700111111111596e+01 3.483421005469043014e-02 3.568746989537325415e-02 1.613833087502822394e+01 1.613941024955409631e+01
2.033333333333333520e-02 1.910448833333333951e+01 4.467296352345977162e-02 4.611163695310212252e-02 1.918370291350984047e+01 1.918539271432948823e+01
2.355555555555555527e-02 2.213197555555555951e+01 5.503298335148274628e-02 5.732632833758401908e-02 2.223032415081851454e+01 2.223281224820193458e+01
2.677777777777777882e-02 2.515946277777778306e+01 6.590229574841603710e-02 6.936255561194902552e-02 2.527803999411571212e+01 2.528154358448163563e+01
3.000000000000000236e-02 2.818695000000000661e+01 7.730687023694690629e-02 8.228173651881301454e-02 2.832672878866394939e+01 2.833149422431147713e+01
3.322222222222222243e-02 3.121443722222222661e+01 8.929459240894754846e-02 9.616034492966307745e-02 3.137629327144307112e+01 3.138259540593915276e+01
3.644444444444444597e-02 3.424192444444445016e+01 1.019258829515388987e-01 1.110812794616140853e-01 3.442665443112792900e+01 3.443479567864940805e+01
3.966666666666666952e-02 3.726941166666667726e+01 1.152687192062189642e-01 1.271296211551713740e-01 3.747774712644508810e+01 3.748805635599303088e+01
4.288888888888889306e-02 4.029689888888889726e+01 1.293964161739000751e-01 1.443910996921513590e-01 4.052951700055526629e+01 4.054234834080704530e+01
4.611111111111110966e-02 4.332438611111111726e+01 1.443870240655205084e-01 1.629521111142581136e-01 4.358191834745035464e+01 4.359764995071314786e+01
4.933333333333333320e-02 4.635187333333334436e+01 1.603235780016873391e-01 1.829005196868268013e-01 4.663491267118292427e+01 4.665394546770725270e+01
5.255555555555555675e-02 4.937936055555556436e+01 1.766531761633634567e-01 2.049682874406305033e-01 4.968846774273722389e+01 4.971122420584003265e+01
5.577777777777778029e-02 5.240684777777779146e+01 1.934334205282032815e-01 2.292868012163725155e-01 5.274255700840265604e+01 5.276947994365126249e+01
5.900000000000000383e-02 5.543433500000001146e+01 2.110685775347498905e-01 2.556522048358331189e-01 5.579715924109762426e+01 5.582871060816214737e+01
6.222222222222222043e-02 5.846182222222223146e+01 2.296175679806605474e-01 2.842184646817280669e-01 5.885225835498982860e+01 5.888891812750590304e+01
6.544444444444444398e-02 6.148930944444445856e+01 2.491428957889758600e-01 3.151490067618458735e-01 6.190784332524922462e+01 6.195010839211509079e+01
6.866666666666666752e-02 6.451679666666667856e+01 2.697104109171366004e-01 3.486170450369606155e-01 6.496390817153982766e+01 6.501229128136435520e+01
7.188888888888889106e-02 6.754428388888889856e+01 2.913889758641519112e-01 3.848055843515749697e-01 6.802045197571506208e+01 6.807548072538226336e+01
7.511111111111111460e-02 7.057177111111113277e+01 3.142500591743072613e-01 4.239071457102229212e-01 7.107747891354046033e+01 7.113969478089416043e+01
7.833333333333333814e-02 7.359925833333335277e+01 3.383672806819010281e-01 4.661232661014201861e-01 7.413499828653331747e+01 7.420495570711040045e+01
8.155555555555556169e-02 7.662674555555557276e+01 3.638159303040257031e-01 5.116638256701068199e-01 7.719302454523283075e+01 7.727129003214248826e+01
8.477777777777778523e-02 7.965423277777779276e+01 3.906724793477154289e-01 5.607462513666841009e-01 8.025157729827546405e+01 8.033872860436446217e+01
8.799999999999999489e-02 8.268172000000001276e+01 4.190141000330614984e-01 6.135946402528950072e-01 8.331068130417550321e+01 8.340730662554331332e+01
9.122222222222221844e-02 8.570920722222223276e+01 4.489182049000098873e-01 6.704388398409907301e-01 8.637036644448670586e+01 8.647706366410980650e+01
9.444444444444444198e-02 8.873669444444445276e+01 4.804620147849787415e-01 7.315135158036714103e-01 8.943066767819129836e+01 8.954804364819429452e+01
9.766666666666666552e-02 9.176418166666668697e+01 5.137221608331319356e-01 7.970572313110453333e-01 9.249162497755675361e+01 9.262029483884872150e+01
1.008888888888888891e-01 9.479166888888890696e+01 5.487743240292886071e-01 8.673115559213953052e-01 9.555328324641035920e+01 9.569386978457902160e+01
1.041111111111111126e-01 9.781915611111112696e+01 5.856929130906363135e-01 9.425202171454170053e-01 9.861569222228654041e+01 9.876882525771652865e+01
1.073333333333333361e-01 1.008466433333333470e+02 6.245507806580421484e-01 1.022928302627626129e+00 1.016789063633766403e+02 1.018452221745670130e+02
1.105555555555555597e-01 1.038741305555555812e+02 6.654189755279364960e-01 1.108781517709767961e+00 1.047429847216746737e+02 1.049231255001794523e+02
1.137777777777777832e-01 1.069016177777778012e+02 7.083665290088079214e-01 1.200325498905279398e+00 1.078079908037104673e+02 1.080026041389967730e+02
1.170000000000000068e-01 1.099291050000000212e+02 7.534602716374633191e-01 1.297805182416022607e+00 1.108739924198108184e+02 1.110837308127958210e+02
